Words,Meaning
halhays,halhays m.l 1. Erey ama weer qof caadaysto in uu hadalkiisa soo dhexgeliyo had iyo jeer; halqabsi. 2. ld halhayn.
halhee,"halhee f.g2 (-heeyay, -haysay) Mar kasta wax ama qof ka hadlid."
haliil,"haliil f.mg1 (-iilay, -iishay) Ku h.: wax si xad dhaaf ah ugu degdegid (sida wax heliddood ama qof wax gaarsiintii)."
haliilid,haliilid m.f.dh eeg haliil.
halis,halis m.dh 1. Xaalad waxyeello weyn keenta. 2. H. ah: khatar ah (meel).
halisnimo,halisnimo m.dh Halis ahaansho.
haljaflaysad,haljaflaysad m.l ld haljalaflaysasho.
haljaflaysasho,haljaflaysasho m.dh ld haljalaflaysasho.
haljaflaysi,haljaflaysi m.l ld haljalaflaysasho.
haljaflayso,"haljaflayso f.mg3 (-stay, -satay) ld haljalaflayso."
haljafle,haljafle m.l ld haljalafle.
haljalaflaysasho,"haljalaflaysasho m.f.dh eeg haljalaflayso. ld haljaflaysad, haljaflaysasho, haljaflaysi."
haljalaflaysi,haljalaflaysi m.l ld haljalaflaysasho.
haljalaflayso,"haljalaflayso f.mg3 (-stay, -satay) Neef waddo ku socda siiba geela geedaha jidka dhinacyadiisa ku yaal hadba laan ka goosasho. ld haljaflayso."
haljalafle,"haljalafle m.l Goosashada neef waddo ku socda siiba geela, uu geedaha jidka-dhinaciisa ku yaal hadba laan ka goosto. ld haljafle."
halkable,"halkable m.l (-layaal, m.l/dh) 1. Qof aan gabay fiican aqoon oo hadba hal soo rida. 2. Gabarey-maanyo."
halked,"halked m.dh (-dyo, m.l) Nooc libaax-badeedka ka mid ah."
halkudheg,"halkudheg m.l (-gyo, m.dh) 1. Dulucda hadalka ku jirta. 2. Hadal kooban oo murti xambaarsan."
hallaabid,hallaabid m.f.dh eeg hallow².
halladaadi,"halladaadi f.g2 (-iyay, -isay) Wax baylahin."
halladaadin,halladaadin m.f.dh eeg halladaadi.
halladaado,"halladaado m.dh Isku ladidda wax qabashadooda la isku lado; baylax, dacdarro."
hallagaasheego,hallagaasheego m.dh Istus tookh; faan.
hallahalla,hallahalla m.dh ld halhaleel.
hallayn,hallayn m.f.dh eeg hallee. ld hallays.
hallays,hallays m.l ld hallayn.
hallaysan,"hallaysan f.mg4 (-snaa, -snayd) Wax la halleeyey ahaansho."
hallaysnaan,hallaysnaan m.f.dh eeg hallaysan. ld hallaysnaansho.
hallaysnaansho,hallaysnaansho m.l/dh ld hallaysnaan.
hallee,"hallee f.g2 (-leeyay, -laysay) 1. Wax qarribid. 2. Ku h.: qof wax ku aaminid."
hallig¹,hallig¹ m.l ld halaagid.
hallig²,"hallig² f.g1 (-gay, -gtay) ld halaag²."
halligan¹,"halligan¹ f.mg1 (-gmay, -gantay; -gmi) ld halaagan¹."
halligan²,"halligan² f.mg4 (-gnaa, -gnayd) ld halaagan²."
halligid,halligid m.dh ld halaagid.
halligis,halligis m.dh ld halaagid.halwo
halligmid,halligmid m.dh ld halaagmid.
hallignaan,hallignaan m.dh ld halaagnaan.
hallignaansho,hallignaansho m.l/dh ld halaagnaan.
hallihalli,hallihalli m.l ld halhaleel.
hallow¹,hallow¹ m.l 1. ld hallaabid. Lumidda wax ka lumaan jidka toosan. 2. H. ah: nafley jidkii toosnaa ka luntay.
hallow²,"hallow² f.mg1 (-laabay, -lowday; -laabi) 1. Wax lumid. 2. Wax qarraabid."
hallowsan,"hallowsan f.mg4 (-naa, -nayd) Nafley wax jidka toosan ka lumay ahaansho."
hallowsanaan,hallowsanaan m.f.dh eeg hallowsan. ld hallowsanaansho.
hallowsanaansho,hallowsanaansho m.l/dh ld hallowsanaan.
halmaal,"halmaal f.mg1 (-aalay, -aashay) Wixii la halmaala: wixii la xariira."
halmaalid,halmaalid m.f.dh eeg halmaal.
halmaamid,"halmaamid m.f.dh eeg halmaan². ld halmaan¹, hilmaamid, hilmaan¹."
halmaan¹,halmaan¹ m.l 1. Xusuus la'aanta la xusuusan waayo wax hore loo soo maray. 2. ld halmaamid.
halmaan²,"halmaan² f.g1 (-aamay, -aantay; -aami) Wax illoobid. ld hilmaan²."
halmaansii,"halmaansii f.lg2 (-iiyay, -iisay) Qof wax illoowsiin. ld hilmaansii."
halmaansiin,"halmaansiin m.f.dh eeg halmaansii. ld halmaansiis, hilmaansiin."
halmaansiis,halmaansiis m.l ld halmaansiin.
halmadow,halmadow m.l Bara-baro mad-madow oo qof aan qubeysan jirkiisa ka muuqda.
halojiin,"halojiin m.dh (-nno, m.dh) (kiim.) Urur curiyayaal ah (ururka VII ee tusaha kalgalka curiyayayaasha) oo ka kooban foloriin, koloriin, boromiin, ayoodhiin, iyo curiyaha cimriga gaaban ee astatiin."
haloodi,haloodi m.l.kh ld haloosi¹.
haloosi¹,"haloosi¹ m.l.kh H. ah: jid weyn oo aan lahayn dhagxan, geedo, godad iwm. ld haloodi."
haloosi²,"haloosi² f.mg1/2 (-iyay, -iday/isay; -iyi) 1. Dad badan hees wada qaadid. 2. Ku h.: wax jid weyn, toosan oo aan dhib lahayn marin."
haloosin,haloosin m.dh ld haloosiyid.
haloosiyid,haloosiyid m.f.dh eeg haloosi². ld haloosin.
halow¹,halow¹ m.l 1. Midab madow oo dabku ku reebo wax gubtey. 2. Kulka ololka dabka ka soo baxa.
halow²,"halow² m.dh 1. ld galow. Meesha godan ee ay iska galaan luqunta iyo sakaarka; dhuun, rubad. 2. H. ah: waddo haloosi ah."
halqaad¹,halqaad¹ m.l 1. Hog u banneynta shax la degey hog loo baneeyo si loo ciyaaro. 2. ld halqaadid.
halqaad²,"halqaad² f.g1 (-day, -dday) Shax la degey si loo ciyaaro hog u banneyn."
halqaadid,halqaadid m.f.dh eeg halqaad². ld halqaad¹ (2).
halqaban,"halqaban m.l (-nno, m.dh) Daboolka birta canjeerada ama laxooxda."
halqabsad,halqabsad m.l ld halqabsasho.
halqabsasho,"halqabsasho m.f.dh eeg halqabso. ld halqabsad, halqabsi."
halqabsi,halqabsi m.l ld halqabsasho.
halqabso,"halqabso f.mg3 (-saday, -satay) 1. Ku h.: qof in uu hadal guro u adeegsasho. 2. Ku h.: wax, wax kale tilmaan ugu qaadasho."
halqalbac,"halqalbac m.l (-cyo, m.dh) Abuurka miraha qaarkood oo ka kooban hal beer."
halqooq,"halqooq m.l (-qyo, m.dh) 1. Dabada (qanaanta) fardaha. 2. Wax walba kan ugu wanaagasan oo ugu qurux badan. 3. (u) Kalluunka biyaha iskiis uga soo booda."
halraac¹,halraac¹ m.l Qaadid shax la halqaaday mid u dhow la qaado.
halraac²,"halraac² f.g1 (-cay, -cday) Shax, dhagax la qaaday mid u dhow ka dab qaadid."
halraacid,halraacid m.f.dh eeg halraac².
halrar,"halrar f.mg1 (-ray, -rtay) Qof ama wax, wax lagu salladay ahaansho."
halrarid,halrarid m.f.dh eeg halrar.
haltiirle,"haltiirle m.l (-layaal, m.l/dh) Wax sida dhisme iwm oo hal tiir kaliya leh."
haltoddobaaddo,haltoddobaaddo m.l ld haltoddabaadyo.
haltoddobaadyo,haltoddobaadyo m.dh Cutubyo xiddigo ah oo midkiiba ka koobanyahay toddoba xiddigood oo la kala yiraahdo haltoddobaadyo weyn iyo haltoddobaadyo yar. ld haltoddobaaddo.
halunugle,"halunugle m.dh (-layaal, m.dh) ld halunugley."
halunugley,"halunugley m.dh (-do, m.l) Noole hal unug ka kooban."
halwac,halwac m.l Baaq uu ku dhawaaqo ninka halgamaha ahi marka uu ugaar soo dilo.
halwad,halwad m.l ld halwasho.
halwasho,halwasho m.f.dh eeg halwo. ld halwad.
halwi,"halwi f.g2 (-iyay, -isay) 1. Wax dab ku madoobayn ama ku midabayn. 2. Wax la iibinayo qiimahooda mid ka yar ku gadid. 3. ld qalwi."
halwin,halwin m.f.dh 1. ld halwis. eeg halwi. 2. ld qalwin.
halwis,halwis m.l Miro qolof ka saarid. ld halwin (1).
halwo,"halwo f.mg3 (-waday, -watay) Ku h.: Wax, wax ka weyn ku dhex shubmid ama ku dhex dhicid."
halxiraale,"halxiraale m.l (-layaal, m.l/dh) Su'aal adag oo sarbeeban oo ka jawaabiddeeda laysku xujeeyo."
halyey,"halyey m.l (-yo, m.dh) 1. Uubatada keeda lab. 2. Geesi, wabar."
ham,ham m.dh.sh.r H. dheh/ h. siin: cod lagu muujiyo cantuugo aad u weyn samayn.
hamaan¹,hamaan¹ m.l.kh Nin naxariis daran oo xalaal iyo xaaraan isugu mid tahay. ld haamaan.
hamaan²,"hamaan² f.mg1 (-nay, -ntay) Mushkilo xallinteeda kari waayid. ld hamaanso (3)."
hamaanid,"hamaanid m.f.dh eeg hamaan². ld hamaan-sad, hamaansasho, hamaansi."
hamaansad,hamaansad m.l ld Hamaansasho; hamaa-nid.
hamaansasho,hamaansasho m.f.dh eeg hamaanso. ld Hamaansi; hamaanid.
hamaansi,hamaansi m.l ld hamaansasho.
hamaanso,"hamaanso f.mg3 (-saday, -satay) 1. Hurdo ama caajis awgiis af la kala qaadid. 2. Naftii baa ka h. satay: wuu dhintay. 3. ld hamaan²."
hamaday,"hamaday m.l (-yo, m.dh) Dhaxan aad u badan oo markay timaado geedaha qalajisa. ld haamadday."
hamag,hamag m.l 1. ld amag. 2. (sh.r) Cod lagu muujiyo dhicitaan.
hambaabir,"hambaabir f.mg1 (-ray, -rtay) Hurdo degdeg uga soo boodid; baraarugid."
hambaabirid,hambaabirid m.f.dh eeg hambaabir.
hambaabuq,"hambaabuq m.l (-yo, m.dh) Caabuq."
hambaas¹,hambaas¹ m.l ld hambaasid.
hambaas²,"hambaas² f.mg1 (-say, -stay) Ku h.: hawl waqti isku dhaafin."
hambaasi,"hambaasi f.g2 (-iyay, -isay) Cid maaweelin."
hambaasid,hambaasid m.f.dh eeg hambaas². ld hambaas¹.
hambaasin,hambaasin m.f.dh eeg hambaasi.
hambabar,"hambabar f.mg1 (-ray, -rtay) Hurdo si degdeg ah uga soo boodid naxdin darteed; baraarugid."
hambabarid,hambabarid m.f.dh eeg hambabar.
hambad,hambad m.l ld hambasho.
hambalaal,hambalaal m.l Kalluunku meesha uu ka neefsado oo dhegaha ka hooseysa.
hambalaalaq¹,hambalaalaq¹ m.l 1. Kala daadsanaan. 2. ld humbuluuluq¹.
hambalaalaq²,"hambalaalaq² f.mg1 (-qay, -qday) 1. Cid kala daadsanaansho. 2. ld humbuluuluq²."
hambalaalaqid,hambalaalaqid m.f.dh 1. eeg hambalaalaq². 2. ld humbululuuqid.
hambalaalaqsan,"hambalaalaqsan f.mg4 (-naa, -nayd) Wax kala daadsan ahaansho."
hambalaalaqsanaan,hambalaalaqsanaan m.f.dh eeg hambalaa-laqsan. ld hambalaalaqsanaansho.
hambalaalaqsanaansho,hambalaalaqsanaansho m.l/dh ld hamba-laalaqsanaan.
hambalyayn,hambalyayn m.f.dh eeg hambalyee.
hambalyee,"hambalyee f.mg2 (-yeeyay, -yaysay) Cid hambalyo u jeedin."
hambalyo,hambalyo m.dh Hadal xambaarsan shucuur farxad leh oo loo jeediyo cid heshay ama soo hoyisay wax lagu farxo.
hambaraac,hambaraac m.l Qof hunguri xun oo meelaha raqdu taal aan laga waayin. ld hamboraac.
hambasho,hambasho m.f.dh eeg hambo. ld hambad.
hambayn,hambayn m.f.dh eeg hambee.
hambee,"hambee f.g2 (-beeyay, -baysay) Cunto la cunayo qaar reebid."
hambo¹,hambo¹ m.dh Cunto la cunay inta weelka lagu reebo.
hambo²,"hambo² f.g3 (-baday, -batay) Xantoobo cunto ah af ku shubasho."
hamboorri¹,hamboorri¹ m.l Riixdin; jug; garabgal.
hamboorri²,"hamboorri² f.g1 (-iyay, -iday; -iyi) 1. Wax hore u tuurid. 2. Wax ku walaahoobid."
hamboorriyid,hamboorriyid m.f.dh eeg hamboorri².
hamboraac,hamboraac m.l Qof hunguri xun oo meelaha raqdu taal aan laga waayin. ld hambaraac.
hameen,hameen m.l ld habeen.
hamham,hamham m.dh 1 Hadal hoos loo yiri oo aan si fiican loo maqlayn. 2. Hadal aan micno lahayn. ld xamxam.
hamhamlee,"hamhamlee f.mg2 (-leeyay, -leysay) Hadal hamham ah dhihid. ld xamxamlee."
hamhamleyn,hamhamleyn m.f.dh eeg hamhamlee. ld xamxamleyn.
hamir,hamir m.l ld himir.
hammada,"hammada m.l (juqr.) Nooc ka mid ah lamaddegaanka, gaar ahaan Saxarada woqooyi Afrika. Lamaddegaanka h., dhulka dushiisu sida badan waxay ka kooban tahay dhadhaab qaawan, oo dabayshu ay ka qaadday bataaxda iyo boorka."
hammajebis,hammajebis m.l ld qalbijebin.
hammi¹,"hammi¹ m.l 1. Murugo iyo walaac ka dhasha arrin murugsan. 2. Niyad, laab. ld qammi."
hammi²,"hammi² f.mg1/2 (-iyay, -iday/isay; -iyi) 1. Murugo iyo walaac la kulmid. 2. Ku h.: wax had iyo jeer ku fekerid."
hammin,hammin m.dh ld hammiyid.
hammisan,"hammisan f.mg4 (-snaa, -snayd) Wax walaac iyo murugo hayso ahaansho."
hammisii,"hammisii f.g2 (-iiyay, -iisay) Cid hammi ku beerid."
hammisiin,hammisiin m.f.dh eeg hammisii.
hammisnaan,hammisnaan m.f.dh eeg hammisan. ld hammisnaansho.
hammisnaansho,hammisnaansho m.l/dh ld hammisnaan.
hammiyid,hammiyid m.f.dh eeg hammi². ld hammin.
hammuude,"hammuude m.l (-dayaal, m.l/dh) Geed yar oo dhulka ku faalala oo miro la cuno dhala. ld hammuudo."
hammuudo,"hammuudo m.dh Nagaar dhulka ku faalala oo dhala miro yar yar, dhanaan oo la cuno. ld hammuude."
hamrasho,hamrasho m.f.dh eeg hamro.
hamro,"hamro f.mg3 (-raday, -ratay) Cid waxtarkeeda u hagar bixid la'aan."
hamsa,"hamsa m.l/dh (nax.) Shibbane dhawaaqyada hadalka ka mid ah; waa aamus yar, wuxuuna dhashaa kolka xargaha codku si degdeg ah u xirmaan oo xiisadda dabaysha u joojiyaan, degdegna u furmaan; astaan-tiisu waa ('). ld hamse, hamso."
hamse,hamse m.l ld hamsa
hamso,hamso m.dh ld hamsa.
hamuu,hamuu m.l.u Digir duban oo marka la karinayo aan si fiican loo bislayn. ld hamuu'.
hamuu',hamuu' m.l.u ld hamuu.
hamuudo,"hamuudo m.dh (-ooyin, m.l) Nagaar dhulka ku faalala oo miro yaryar, dhannaan oo la cuno leh."
hamuuman,"hamuuman f.mg4 (-mnaa, -mnayd) Qof hammuun qaba ahaansho."
hamuumid,hamuumid m.dh eeg hamuun².
hamuumnaan,hamuumnaan m.f.dh eeg hamuuman. ld hammuumnaansho.
hamuumnaansho,hamuumnaansho m.l/dh ld hamuumnaan.
hamuun¹,hamuun¹ m.dh Rabitaan saa'id ah oo cunto loo qabo aroortii.
hamuun²,"hamuun² f.g1 (-uumay, uuntay; -uumi). 1. Wax aad u rabid. 2. Cunto aad u rabid."
hamuungorayo,hamuungorayo m.dh ld hamuungorgor.
hamuungorgor,hamuungorgor m.l Sugid la'aanta la sugi waayo cunto dab saaran ama bisil hamuun awgeed. ld hamuungorayo.
hamuuntir¹,hamuuntir¹ m.l Cunto yar oo hamuunta la isaga bi'iyo.
hamuuntir²,"hamuuntir² f.g1 (-ray, -rtay) Qof cunto yar oo hamuun lagu bi'iyo siin."
hamuuntirad,hamuuntirad m.l ld hamuuntirasho.
hamuuntirasho,hamuuntirasho m.f.dh eeg hamuuntiro. ld hamuuntirad.
hamuuntirid,hamuuntirid m.f.dh eeg hamuuntir².
hamuuntiro,"hamuuntiro f.mg3 (-rtay, -ratay) Hamuun iska bi'in."
han,han m.l Isla weynaan aan kibir ku jirin; qab. 
hanaayo,"hanaayo m.dh Cadaawad, nacayb."
hanacun,"hanacun m.l 1. Cunidda boolida. 2. (-no,mdh.) Qof boolida cuna."
hanad,"hanad m.l (-ddo/-dyo, m.dh) Nin karti iyo hufnaan dheeraad ah isku darsaday; diric."
hanano,hanano m.dh Danaano; hiilo.
hanaq,"hanaq m.l (-qyo, m.dh) Dhuunta meesheeda hoose oo godan; galaw; halaw."
hanaqaad¹,"hanaqaad¹ m.l 1. H. ah: qof filka mas'uu-liyad lagu hanan karo gaaray; tabargal. 2. Diric, geesi. 3. ld hanaqaadid."
hanaqaad²,"hanaqaad² f.mg1 (-day, -dday) Qof fil uu mas'uuliyad ku hana karo gaari; tabargalid."
hanaqaadid,hanaqaadid m.f.dh eeg hanaqaad². ld hanaqaad¹ (2).
hanasho,hanasho m.f.dh eeg hano.
handaawad,handaawad m.dh Ubbo tolay ah oo weesada lagu qaato.
handabo,handabo m.l/dh Xaalad nafsaani ah oo qofka ku qasabta waxa uu jecelyahay in uu falo. Tus. “Cali naaguhuu handabo ku qabaa”.
handad¹,"handad¹ m.l (-dyo, m.dh). 1. ld hanfad ¹, hanfaf. (-dyo, m.dh) Hinqasho, boodid. 2. ld haddidid. 3. ld handadid."
handad²,"handad² f.g/mg1 (-day, -dday) 1. (f.g) Qof u cagajuglayn. 2. (f.mg) Bootin fudud nafley dagaal maagani boodid. 3. (f.mg) Qof hurda nixid."
handadaad,handadaad m.dh Cabsi gelin cid loo gaysto. ld haddidid.
handadi,"handadi f.g2 (-iyay, -isay) Cid sasin. ld hanfadi."
handadid,"handadid m.f.dh 1. ld handad ¹, hanfadid. eeg handad². 2. ld haddidid."
handadin,handadin m.l eeg handadi. ld hanfadin.
handaraab¹,"handaraab¹ m.l (-byo, m.dh) Bir albaabada lagu qataaro qufulkana lagu xiro."
handaraab²,"handaraab² f.mg1 (-aabay, -aabtay) Albaab handaraab gelin."
handaraaban,"handaraaban f.mg4 (-bnaa, -bnayd) Albab wax la handaraabay ahaansho"
handaraabasho,handaraabasho m.f.dh eeg handaraabo.
handaraabid,handaraabid m.f.dh eeg handaraab².
handaraabnaan,handaraabnaan m.f.dh eeg handaraaban. ld handaraabnaansho.
handaraabnaansho,handaraabnaansho m.l/dh ld handaraab-naan.
handaraabo,"handaraabo f.mg3 (-bay, -btay) Albaab handaraab ku xirasho."
handuul,"handuul m.l (-llo, m.dh) 1. Sariir yar oo ilmaha lagu lulo. 2. Naxash. 3. Sariir doomaha derbiyadooda ku dheggan oo ay seexdaan rakaabka qaarkood."
hanfaafurraysad,hanfaafurraysad m.l ld hanfafurraysasho.
hanfaafurraysasho,"hanfaafurraysasho m.f.dh eeg hanfaafurray-so. ld hanfaafurraysad, hanfaafuraaysi."
hanfaafurraysi,hanfaafurraysi m.l ld hanfaafurraysasho.
hanfaafurrayso,"hanfaafurrayso f.g3 (-stay, -satay) Cunto yar qadada ama cashada ka hor sii cunid."
hanfaafurro,hanfaafurro m.dh ld hanfaafuryo.
hanfaafuryo,"hanfaafuryo m.dh (-ooyin, m.l) Cunto yar oo qadada ama cashada ka hor la cuno. ld hanfaafurro."
hanfad¹,hanfad¹ m.l Illaawidda wax la illaawo degdegsiinyo iyo fudayd dartiis. ld handad¹.
hanfad²,"hanfad² f.mg1 (-day, -dday) Ka h.: Wax degdegsiinyo iyo fudayd dartiis la illaawid. ld hanfad²."
hanfade,"hanfade m.l (-dayaal, m.l/dh) Qof illow-shiinyo badan oo fudud"
hanfadi,"hanfadi f.g2 (iyay, -isay) ld handadi."
hanfadid,hanfadid m.dh ld handadid.
hanfadin,hanfadin m.dh ld handadin.
hanfaf,hanfaf m.l ld handad¹.
hanfafid,hanfafid m.dh eeg handad².
hanfariir¹,hanfariir¹ m.l Argaggax; didmo; sas. ld anfariir¹.
hanfariir²,"hanfariir² f.mg1 (-iiray, -iirtay) Bixid, argagixid. ld anfariir²."
hanfariiri,"hanfariiri f.g2 (-iyay, -isay) Cabsiin, nixin. ld anfariiri."
hanfariirid,hanfariirid m.f.dh eeg hanfariir².
hanfariirin,hanfariirin m.f.dh eeg hanfariiri. ld anfa-riirin.
hanfariirsan,"hanfariirsan f.mg4 (-naa, -nayd) Qof la hanfariiray ahaansho. ld anfariirsan."
hanfariirsanaan,"hanfariirsanaan m.f.dh eeg hanfariirsan. ld anfariirsanaan, anfariirsanaansho, hanfariirsanaan."
hanfariirsanaansho,hanfariirsanaansho m.l/dh ld hanfariir-sanaan.
hanfi¹,hanfi¹ m.l Dabayl kulul.
hanfi²,"hanfi² m.l (juqr.) Dabayl kulul oo qallalan oo ka soo dhacda meelaha dulaha ah una soo dhacda xeebaha, gaar ahaan dalka koonfurta Afrika; waxaana ay dalkaas ka dhacdaa xilliga jiilaalka. Hanfigu wuxuu dhulka Soomaalida ka dhacaa xilliga xagaaga, waxaanu ka dhacaa Xeebta Badda Cas, sida Berbera iyo Jabuuti."
hangaaguryo,hangaaguryo m.dh Canaan kulul. ld hangaaggurro.
hangaggurree,"hangaggurree f.g2 (-reeyay,-reysay) 1. Canaan kulul cid u jeedin. 2. Qof si sir ah u waxyeellayn."
hangaggurreyn,hangaggurreyn m.f.dh eeg hangaggurree. ld hangaggurro.
hangaggurro,hangaggurro m.dh 1. Canaan kulul oo cid loo jeediyo. 2. Si qarsoodi ah oo cid loo waxyeelleeyo. ld hangaggurreyn.
hangal¹,hangal¹ m.l ld hanqal¹.
hangal²,"hangal² m.dh (-llo, m.dh) Maro cad oo ay in muddo ah xirato haweeney ninkeedii dhintay; asay. ld hengel²."
hangalle,"hangalle m.l (-layaal, m.l/dh) Orod hal lug lagu ordo."
hangallee,"hangallee f.mg2 (-leeyay, -leysay) Hangalle samayn."
hangalleyn,hangalleyn m.f.dh eeg hangallee. ld hangalleys.
hangalleys,hangalleys m.l ld hangalleyn.
hangaraarac,"hangaraarac m.l Cayayaan yaryar oo lugo badan leh, oogadiisuna leedahay girgiro, midabkiisuna yahay madow. ld hanqaraarac."
hangaralle,"hangaralle m.l (-layaal, m.l/dh) Harraan, dibqallooc, hanraar."
hangool,"hangool m.l (-llo, m.dh) Qalab qori oh oo labo gantood iyo gar soo godan leh oo reermiyigu xoolaha ku ootaan. ld hankool."
haniye¹,"haniye¹ m.l (-yayaal, m.l/dh) Labada carrab oo yaryar oo ku yaal qalalka wadnaha: dhiigga wadnaha soo gelaya ayay soo daayaan oo soo wareegaan inuu dib u noqodana u diidaan."
haniye²,"haniye² m.l (-yayaal, m.l/dh) (c.nafl.) Sooh qaab gaar ah leh oo ay xubnaha qaarkood oo qaab dhuumeed leh u yaal ama meelo ciriiriya socoshada dareere dhex maraya, xubnahaas oo hal jiho oo keliya oo sii deynaya. Gufafku waxay lagama maarmaan u yihiin: aroorrada, wadnaha iyo xididdada liinfada."
haniye-seddex-faraale,"haniye-seddex-faraale m.l (c.nafl.) Gufka u dhexeeya qolqolka sare ee midig iyo qolqolka hoose ee midig, wuxuu leeyahay saddex farood oo u sii daaya dhiigga ka yimaada qolqolka sare in uu ku shubmo qolqolka hoose, wuxuuna celiya in dhiigu kor u soo noqdo."
hanjab,"hanjab f.mg1 (-bay, -btay) U h.: qof u cagajuglayn. ld hanjan."
hanjabaad,hanjabaad m.dh Ereyo iyo cagajuglayn cid lagu cabsi gelinayo. ld hanjabid.
hanjabid,"hanjabid m.f.dh eeg hanjab. ld hanjabaad, hanjabo, hanjamaad, hanjamid, hanja-mo."
hanjabo,hanjabo m.dh ld hanjabid.
hanjaleeli,"hanjaleeli f.g2 (-iyay, -isay) Hanjaleelo ama diliq ka keenid (carrurr)."
hanjaleelin,hanjaleelin m.f.dh eeg hanjaleeli. ld hanjialeelis.
hanjaleelis,hanjaleelis m.l ld hanjaleelin.
hanjaleelo,hanjaleelo m.dh Matag yar oo sida badan carruurta caananuugga ah ka yimaada; diliq.
hanjamaad,hanjamaad m.dh ld hanjabid.
hanjamid,hanjamid m.dh ld hanjabid.
hanjamo,hanjamo m.dh ld hanjabid.
hanjan,"hanjan f.mg1 (-amay, -antay) ld hanjab."
hanjeel,"hanjeel f.g1 (-eelay, -eeshay) Da'yaraan ku dhimasho (dad iyo xoolo)."
hanjeeli,"hanjeeli f.g2 (-iyay, -isay) Nafley da' yar ku dilid."
hanjeelid,hanjeelid m.f.dh eeg hanjeel.
hanjeelin,hanjeelin m.f.dh eeg hanjeeli. ld hanjeelis.
hanjeelis,hanjeelis m.l ld hanjeelin.hantaatac¹
hanjiid¹,hanjiid¹ m.l Qob ka saaridda in yar oo gocoso ah gacan qobka looga saaro.
hanjiid²,"hanjiid² f.g1 (-day, -dday) Gocoso gacan qob uga saarid."
hanjiidan,"hanjiidan f.mg4 (-dnaa, -dnayd) Gocoso gacan qob uga saarayo ahaansho."
hanjiidasho,hanjiidasho m.f.dh eeg hanjiido.
hanjiidid,hanjiidid m.f.dh hanjiid².
hanjiidnaan,hanjiidnaan m.f.dh eeg hanjiidan ld hanjiidnaansho.
hanjiidnaansho,hanjiidnaansho m.l/dh ld hanjiidnaan.
hanjiido,"hanjiido f.g3 (-daday, -datay) Gocoso, qob gacan kaga saarasho."
hankaag¹,hankaag¹ m.l Daal iyo dhibaato badan lagala kulmo socod muraadkii lagu hungoobay.
hankaag²,"hankaag² f.mg1 (-gay, -gtay) Wax lagu hungoobay daal iyo dhibaato badan kala kulmid."
hankaagid,hankaagid m.f.dh eeg hankaag².
hankaagsan,"hankaagsan f.mg4 (-naa, -nayd) Wax hankaag la kulmay ahaansho."
hankaagsanaan,hankaagsanaan m.f.dh eeg hankaagsan. ld hankaagsanaansho.
hankaagsanaansho,hankaagsanaansho m.l/dh ld hankaag-sanaan.
hankool,"hankool m.l (-llo, m.dh) ld hangool."
hanna,"hanna m.dh Dembi ah wax ka baxsan ballannada herinta ama xeerka qofkii ku xad gudba ayaa la yiraahdaa (hannaa gashay) waxaana ugu culus, u galmoodka naageed inta ugaarsiga lagu jiro ama loo tabaabushaysanaayo, siiba waqtiyada oroobka."
hannaad,hannaad m.l ld hanna.
hannaan,"hannaan m.l (-nno, m.dh) 1. Wax si wanaagsan u agaasiman. 2. Qaab wanaagsan oo wax leeyihiin."
hannaani,"hannaani f.g2 (-iyay, -isay) Wax hannaan wanaagsan u yeelid."
hannaanin,hannaanin m.f.dh eeg hannaani.
hannas,hannas m.l Kulayl badan.
hano¹,hano¹ m.dh 1. Finan madaxa ka soo baxa oo timaha hoolhoola. 2. Booli; xaaraan.
hano²,"hano² f.g3 (-ntay, -natay) 1. Wax mas'uuliyaddooda ku filnaasho. 2. Wax hantiyid ama qabsasho."
hanqaaran¹,hanqaaran¹ m.l 1. Luggooyo. 2. ld han-qaarmid.
hanqaaran²,"hanqaaran² f.mg1 (-rmay, -rantay; -rmi) Qof hankaagsan noqosho. ld hanqaran²."
hanqaare,hanqaare m.l 1. Xiiqid. 2. Qalbijab. 3. Wax si aan habboonayn loo qaado.
hanqaarmid,"hanqaarmid m.f.dh eeg hanqaaran². ld hanqaaran¹, hanqaran¹, hanqarmid."
hanqabtirid,hanqabtirid m.dh eeg haqabtir². ld haqabtir¹.
hanqaji,"hanqaji f.g2 (-iyay, -isay) Qof u caga-jugleyn."
hanqajin,hanqajin m.f.dh eeg hanqaji. ld hanqajis.
hanqajis,hanqajis m.l ld hanqajin.
hanqal,hanqal m.l Qaarka sare ee dadka inta madaxa iyo caloosha u dhexeysa. ld hangal¹.
hanqalaal,"hanqalaal m.l (-llo, m.dh) Daloolka meesha sanka iyo afku isaga furanyihiin ku yaal."
hanqalooc¹,"hanqalooc¹ m.l 1. Qaadidda qaarka sare kor loo qaado, iyadoo caloosha gadaal loo riixayo, meel hoosana la eegayo. 2. ld hanqalooqsasho."
hanqalooc²,hanqalooc² f.mg1 ld hanqaloocso.
hanqaloocid,hanqaloocid m.dh ld hanqaloocsasho.
hanqaloocsad,hanqaloocsad m.l ld hanqaloocsasho.
hanqaloocsasho,"hanqaloocsasho m.f.dh eeg hanqaloocso. ld hanqalooc¹, hanqaloocid, hanqaloocsad, hanqaloocsi"
hanqaloocsi,hanqaloocsi m.l ld hanqaloocsasho.
